user_id,locale,birthyear,gender,joinedAt,location,timezone,count,lat,lng
3197468391,ID,1993.0,male,2012-10-02,Medan  Indonesia,480.0,4509.0,3.5951956,98.6722227
3537982273,ID,1992.0,male,2012-09-29,Medan  Indonesia,420.0,4509.0,3.5951956,98.6722227
823183725,US,1975.0,male,2012-10-06,Stratford  Ontario,-240.0,1.0,43.370000700000006,-80.98222860000001
1872223848,US,1991.0,female,2012-11-04,Tehran  Iran,210.0,116.0,35.6891975,51.3889736
3429017717,ID,1995.0,female,2012-09-10,,420.0,,,
627175141,GE,1973.0,female,2012-11-01,Tbilisi  Georgia,240.0,540.0,41.71513770000001,44.827096000000004
2752000443,ID,1994.0,male,2012-10-03,Medan  Indonesia,420.0,4509.0,3.5951956,98.6722227
3473687777,ID,1965.0,female,2012-10-03,Medan  Indonesia,420.0,4509.0,3.5951956,98.6722227
2966052962,ID,1979.0,male,2012-10-31,Medan  Indonesia,420.0,4509.0,3.5951956,98.6722227
264876277,ID,1988.0,female,2012-10-02,Medan  Indonesia,420.0,4509.0,3.5951956,98.6722227
1534483818,US,1992.0,male,2012-09-25,Medan  Indonesia,420.0,4509.0,3.5951956,98.6722227
2648135297,US,1996.0,female,2012-10-30,Phnom Penh,420.0,2169.0,11.544872900000001,104.89216680000001
1355996271,ID,1993.0,female,2012-10-26,Djokja  Yogyakarta  Indonesia,420.0,398.0,-7.7955798,110.3694896
2411726276,US,1996.0,female,2012-10-30,Triolet  Mauritius,240.0,41.0,,
1692345316,LA,,male,2012-08-02,,-300.0,,,
3786316231,FR,1992.0,male,2012-09-04,,-240.0,,,
2081587,AR,1993.0,male,2012-08-21,,-240.0,,,
184647001,ID,1990.0,male,2012-10-27,Surabaya  Indonesia,420.0,154.0,-7.2574719,112.7520883
1013376584,ID,1993.0,male,2012-10-09,Medan  Indonesia,270.0,4509.0,3.5951956,98.6722227
2686249984,US,,male,2012-05-02,,-240.0,,,
2276008938,ID,1988.0,male,2012-10-30,Djokja  Yogyakarta  Indonesia,420.0,398.0,-7.7955798,110.3694896
1091720544,GB,1988.0,female,2012-10-30,Plaine Des Papayes  Pamplemousses  Mauritius,240.0,8.0,-20.0676436,57.5957486
3593684261,US,1992.0,male,2012-10-31,Phnom Penh,420.0,2169.0,11.544872900000001,104.89216680000001
839960040,US,1994.0,female,2012-10-28,Djokjakarta  Yogyakarta  Indonesia,420.0,21.0,-7.7955798,110.3694896
3184414062,ID,1994.0,male,2012-11-01,Jombang  Jawa Timur  Indonesia,-300.0,131.0,-7.5740867,112.28608999999999
84133998,US,1987.0,male,2012-06-15,,-240.0,,,
851286067,ID,1993.0,male,2012-11-06,Jakarta  04,-300.0,293.0,-6.2227172999999985,106.9270718
3341263967,US,1988.0,female,2012-09-21,Toronto  Ontario,-240.0,696.0,,
1363661070,US,1994.0,female,2012-10-31,Phnom Penh,420.0,2169.0,11.544872900000001,104.89216680000001
1911472832,US,1988.0,male,2012-11-05,Beverly Hills  California,-480.0,26.0,34.073620399999996,-118.40035630000001
1186129084,US,1994.0,male,2012-10-17,Medan  Indonesia,-420.0,4509.0,3.5951956,98.6722227
3704022334,US,1992.0,male,2012-10-28,San Juan  Puerto Rico,420.0,3.0,18.465539399999997,-66.1057355
2396669325,BR,1990.0,female,2012-10-21,Santos  Sao Paulo  Brazil,-120.0,4.0,-23.956130399999996,-46.3264089
2370879614,US,1981.0,male,2012-11-16,Toronto  Ontario,-300.0,696.0,,
1748125486,US,1993.0,male,2012-11-20,  ,480.0,1475.0,,
3481126833,US,1980.0,female,2012-11-20,Palo Alto  CA,0.0,59.0,37.441883399999995,-122.14301950000001
687155152,ID,1994.0,male,2012-09-29,Jambi City,420.0,8.0,-1.6101229,103.61312029999999
3104149470,ID,1992.0,male,2012-10-18,Medan  Indonesia,420.0,4509.0,3.5951956,98.6722227
4003794851,US,1985.0,female,2012-10-30,Phnom Penh,420.0,2169.0,11.544872900000001,104.89216680000001
1000773879,US,1993.0,female,2012-07-11,,-240.0,,,
4091235322,ID,1996.0,male,2012-10-15,Bekasi,420.0,211.0,-6.2382699,106.9755726
1889728955,US,1993.0,female,,None,420.0,1.0,44.9334927,7.540749400000001
3182865964,US,1980.0,female,2012-11-15,Phnom Pen  Phnum Penh  Cambodia,420.0,471.0,11.544872900000001,104.89216680000001
486770608,US,,male,2012-05-19,,-300.0,,,
3217740197,US,1994.0,male,2012-10-30,Phnom Pen  Phnum Penh  Cambodia,420.0,471.0,11.544872900000001,104.89216680000001
1767910530,US,1991.0,female,2012-09-15,Belton  South Carolina,-240.0,1.0,34.522888099999996,-82.49429479999998
3981164786,US,1967.0,female,2012-09-04,,-420.0,,,
2909448722,GB,1988.0,male,2012-11-14,Aleppo  Syria,120.0,1.0,36.2021047,37.134260299999994
3498595321,US,1994.0,female,2012-11-14,New London  Connecticut,-300.0,3.0,41.3556539,-72.0995209
1518185911,ID,1997.0,male,2012-10-26,Medan  Indonesia,420.0,4509.0,3.5951956,98.6722227
2024389351,LA,1995.0,female,2012-10-27,Santo Domingo  Dominican Republic,-240.0,1442.0,18.4860575,-69.93121169999999
4272286295,US,1982.0,female,2012-10-13,Alameda  California,-480.0,3.0,37.7652065,-122.2416355
639980269,TH,1987.0,male,2012-10-30,Bangkok  Thailand,420.0,12.0,13.7563309,100.5017651
3276242622,VN,1993.0,male,2012-10-03,,420.0,,,
1583891911,GB,1988.0,male,2012-10-30,Phnom Penh,420.0,2169.0,11.544872900000001,104.89216680000001
14952708,US,1992.0,male,2012-11-08,Los Angeles  California,-480.0,1555.0,34.0522342,-118.24368490000002
2038562858,US,1994.0,female,2012-10-30,Santo Domingo  Dominican Republic,-240.0,1442.0,18.4860575,-69.93121169999999
2401908633,US,1919.0,female,2012-10-31,Phnom Penh,420.0,2169.0,11.544872900000001,104.89216680000001
1220889821,US,1990.0,female,2012-11-05,New York  New York,-300.0,140.0,40.7127837,-74.00594129999999
983316945,US,1996.0,male,2012-10-27,San Clemente  California,-480.0,15.0,33.4269728,-117.6119925
772134053,US,1996.0,female,2012-11-01,Curepipe  17,240.0,16.0,44.6388063,-1.1410002000000001
1158367242,US,1994.0,male,2012-10-30,Yogyakarta,420.0,3092.0,,
3359566214,US,1978.0,male,2012-06-03,,-240.0,,,
2793136619,US,1985.0,male,2012-10-29,Upland  CA,-480.0,6.0,,
3241260218,IR,1982.0,male,2012-11-14,  ,210.0,1475.0,,
